Время старта;Время завершения;Печь;Номер программы выпечки;Номер духовки;Количество духовок;Длительность
2024-10-31T07:16:04.000000;2024-10-31T07:30:13.000000;Печь 2;1;1;2;0 days 00:14:09
2024-10-31T14:13:04.000000;2024-10-31T14:26:53.000000;Печь 2;1;1;2;0 days 00:13:49
2024-10-31T18:25:03.000000;2024-10-31T18:37:22.000000;Печь 2;1;1;2;0 days 00:12:19
2024-11-01T07:15:42.000000;2024-11-01T07:30:01.000000;Печь 2;1;1;2;0 days 00:14:19
2024-11-01T10:50:04.000000;2024-11-01T11:03:53.000000;Печь 2;1;1;2;0 days 00:13:49
2024-11-01T14:21:33.000000;2024-11-01T14:35:32.000000;Печь 2;1;1;2;0 days 00:13:59
2024-11-01T18:26:46.000000;2024-11-01T18:38:55.000000;Печь 2;1;1;2;0 days 00:12:09
2024-11-02T07:03:54.000000;2024-11-02T07:18:13.000000;Печь 2;1;1;2;0 days 00:14:19
2024-10-31T07:46:57.000000;2024-10-31T08:00:36.000000;Печь 1;1;1;2;0 days 00:13:39
2024-11-01T07:20:57.000000;2024-11-01T07:34:45.000000;Печь 1;1;1;2;0 days 00:13:48
2024-11-02T07:23:01.000000;2024-11-02T07:36:50.000000;Печь 1;1;1;2;0 days 00:13:49
2024-11-02T11:42:34.000000;2024-11-02T11:56:23.000000;Печь 1;1;1;2;0 days 00:13:49
2024-10-31T09:35:15.000000;2024-10-31T09:48:54.000000;Печь 2;1;2;2;0 days 00:13:39
2024-10-31T15:57:02.000000;2024-10-31T16:10:31.000000;Печь 2;1;2;2;0 days 00:13:29
2024-11-01T15:17:25.000000;2024-11-01T15:31:04.000000;Печь 2;1;2;2;0 days 00:13:39
2024-10-31T06:14:16.000000;2024-10-31T06:41:05.000000;Печь 2;2;2;2;0 days 00:26:49
2024-10-31T08:31:39.000000;2024-10-31T08:58:28.000000;Печь 2;2;2;2;0 days 00:26:49
2024-10-31T12:28:36.000000;2024-10-31T12:54:45.000000;Печь 2;2;2;2;0 days 00:26:09
2024-10-31T15:19:53.000000;2024-10-31T15:45:52.000000;Печь 2;2;2;2;0 days 00:25:59
2024-11-01T06:15:08.000000;2024-11-01T06:41:57.000000;Печь 2;2;2;2;0 days 00:26:49
2024-11-01T08:19:43.000000;2024-11-01T08:46:12.000000;Печь 2;2;2;2;0 days 00:26:29
2024-11-01T11:00:39.000000;2024-11-01T11:26:38.000000;Печь 2;2;2;2;0 days 00:25:59
2024-11-01T13:19:55.000000;2024-11-01T13:46:14.000000;Печь 2;2;2;2;0 days 00:26:19
2024-11-02T06:16:06.000000;2024-11-02T06:42:55.000000;Печь 2;2;2;2;0 days 00:26:49
2024-11-02T08:11:11.000000;2024-11-02T08:37:00.000000;Печь 2;2;2;2;0 days 00:25:49
2024-10-31T08:32:23.000000;2024-10-31T08:56:22.000000;Печь 2;4;1;2;0 days 00:23:59
2024-11-01T06:13:12.000000;2024-11-01T06:38:01.000000;Печь 2;4;1;2;0 days 00:24:49
2024-11-02T06:13:50.000000;2024-11-02T06:38:38.000000;Печь 2;4;1;2;0 days 00:24:48
2024-10-31T12:58:46.000000;2024-10-31T13:24:05.000000;Печь 1;2;2;2;0 days 00:25:19
2024-11-01T07:20:56.000000;2024-11-01T07:47:15.000000;Печь 1;2;2;2;0 days 00:26:19
2024-11-02T07:23:01.000000;2024-11-02T07:49:10.000000;Печь 1;2;2;2;0 days 00:26:09
2024-11-02T11:23:41.000000;2024-11-02T11:49:20.000000;Печь 1;2;2;2;0 days 00:25:39
2024-11-01T18:02:19.000000;2024-11-01T18:26:18.000000;Печь 2;2;1;2;0 days 00:23:59
2024-10-31T10:50:36.000000;2024-10-31T11:15:35.000000;Печь 2;4;2;2;0 days 00:24:59
2024-10-31T11:56:39.000000;2024-10-31T12:20:18.000000;Печь 2;4;2;2;0 days 00:23:39
2024-10-31T14:50:43.000000;2024-10-31T15:15:11.000000;Печь 2;4;2;2;0 days 00:24:28
2024-11-01T10:09:22.000000;2024-11-01T10:33:21.000000;Печь 2;4;2;2;0 days 00:23:59
2024-11-01T12:47:23.000000;2024-11-01T13:11:12.000000;Печь 2;4;2;2;0 days 00:23:49
2024-11-01T14:05:13.000000;2024-11-01T14:28:41.000000;Печь 2;4;2;2;0 days 00:23:28
2024-11-02T10:25:57.000000;2024-11-02T10:50:26.000000;Печь 2;4;2;2;0 days 00:24:29
